split,speaker_id,accent,label,filename,bytes
aux,p300,american,3,audio/p300/p300_001_mic1.flac,95141
aux,p300,american,3,audio/p300/p300_002_mic1.flac,192830
aux,p300,american,3,audio/p300/p300_003_mic1.flac,445417
aux,p300,american,3,audio/p300/p300_004_mic1.flac,292321
aux,p300,american,3,audio/p300/p300_005_mic1.flac,357084
aux,p300,american,3,audio/p300/p300_006_mic1.flac,302228
aux,p300,american,3,audio/p300/p300_007_mic1.flac,229146
aux,p300,american,3,audio/p300/p300_008_mic1.flac,411018
aux,p300,american,3,audio/p300/p300_009_mic1.flac,267088
aux,p300,american,3,audio/p300/p300_010_mic1.flac,158049
aux,p300,american,3,audio/p300/p300_011_mic1.flac,392047
aux,p300,american,3,audio/p300/p300_012_mic1.flac,241098
aux,p300,american,3,audio/p300/p300_013_mic1.flac,257329
aux,p300,american,3,audio/p300/p300_014_mic1.flac,271104
aux,p300,american,3,audio/p300/p300_015_mic1.flac,333464
aux,p300,american,3,audio/p300/p300_016_mic1.flac,380218
aux,p300,american,3,audio/p300/p300_017_mic1.flac,174709
aux,p300,american,3,audio/p300/p300_018_mic1.flac,295269
aux,p300,american,3,audio/p300/p300_019_mic1.flac,414027
aux,p300,american,3,audio/p300/p300_020_mic1.flac,208039
aux,p300,american,3,audio/p300/p300_021_mic1.flac,502543
aux,p300,american,3,audio/p300/p300_022_mic1.flac,391207
aux,p300,american,3,audio/p300/p300_023_mic1.flac,634983
aux,p300,american,3,audio/p300/p300_024_mic1.flac,382557
aux,p300,american,3,audio/p300/p300_025_mic1.flac,215090
aux,p300,american,3,audio/p300/p300_026_mic1.flac,170908
aux,p300,american,3,audio/p300/p300_027_mic1.flac,145158
aux,p300,american,3,audio/p300/p300_028_mic1.flac,220405
aux,p300,american,3,audio/p300/p300_029_mic1.flac,158095
aux,p300,american,3,audio/p300/p300_030_mic1.flac,200837
aux,p228,english,0,audio/p228/p228_001_mic1.flac,112834
aux,p228,english,0,audio/p228/p228_002_mic1.flac,205094
aux,p228,english,0,audio/p228/p228_003_mic1.flac,434857
aux,p228,english,0,audio/p228/p228_004_mic1.flac,292190
aux,p228,english,0,audio/p228/p228_005_mic1.flac,356199
aux,p228,english,0,audio/p228/p228_006_mic1.flac,304372
aux,p228,english,0,audio/p228/p228_007_mic1.flac,246606
aux,p228,english,0,audio/p228/p228_008_mic1.flac,439805
aux,p228,english,0,audio/p228/p228_009_mic1.flac,306299
aux,p228,english,0,audio/p228/p228_010_mic1.flac,189613
aux,p228,english,0,audio/p228/p228_011_mic1.flac,395394
aux,p228,english,0,audio/p228/p228_012_mic1.flac,251545
aux,p228,english,0,audio/p228/p228_013_mic1.flac,240509
aux,p228,english,0,audio/p228/p228_014_mic1.flac,270117
aux,p228,english,0,audio/p228/p228_015_mic1.flac,346760
aux,p228,english,0,audio/p228/p228_016_mic1.flac,381169
aux,p228,english,0,audio/p228/p228_018_mic1.flac,289380
aux,p228,english,0,audio/p228/p228_019_mic1.flac,389695
aux,p228,english,0,audio/p228/p228_020_mic1.flac,204396
aux,p228,english,0,audio/p228/p228_021_mic1.flac,488138
aux,p228,english,0,audio/p228/p228_022_mic1.flac,409216
aux,p228,english,0,audio/p228/p228_023_mic1.flac,572902
aux,p228,english,0,audio/p228/p228_024_mic1.flac,328836
aux,p228,english,0,audio/p228/p228_025_mic1.flac,86077
aux,p228,english,0,audio/p228/p228_026_mic1.flac,220209
aux,p228,english,0,audio/p228/p228_027_mic1.flac,88607
aux,p228,english,0,audio/p228/p228_028_mic1.flac,145701
aux,p228,english,0,audio/p228/p228_029_mic1.flac,137609
aux,p228,english,0,audio/p228/p228_030_mic1.flac,114845
